Timestamp = 0.00830492, Batch 1, Epoch = 1, Loss = 2.49895, Actual Loss = 2.30258, Wt loss = 0.196363, C++_CUDA_GPU Avg iter time = 0.00830492
Timestamp = 0.00885073, Batch 2, Epoch = 1, Loss = 2.49894, Actual Loss = 2.30259, Wt loss = 0.196359, C++_CUDA_GPU Avg iter time = 0.00442537
Timestamp = 0.00936466, Batch 3, Epoch = 1, Loss = 2.49892, Actual Loss = 2.30256, Wt loss = 0.196354, C++_CUDA_GPU Avg iter time = 0.00246965
Timestamp = 0.00996605, Batch 4, Epoch = 1, Loss = 2.49898, Actual Loss = 2.30263, Wt loss = 0.196348, C++_CUDA_GPU Avg iter time = 0.00153552
Timestamp = 0.0104888, Batch 5, Epoch = 1, Loss = 2.49891, Actual Loss = 2.30257, Wt loss = 0.196343, C++_CUDA_GPU Avg iter time = 0.00102913
Timestamp = 0.0110001, Batch 6, Epoch = 1, Loss = 2.49894, Actual Loss = 2.3026, Wt loss = 0.196338, C++_CUDA_GPU Avg iter time = 0.000770241
Timestamp = 0.0115121, Batch 7, Epoch = 1, Loss = 2.49904, Actual Loss = 2.30271, Wt loss = 0.196333, C++_CUDA_GPU Avg iter time = 0.000641078
Timestamp = 0.0120236, Batch 8, Epoch = 1, Loss = 2.49894, Actual Loss = 2.30261, Wt loss = 0.196328, C++_CUDA_GPU Avg iter time = 0.000576319
Timestamp = 0.0125386, Batch 9, Epoch = 1, Loss = 2.49898, Actual Loss = 2.30265, Wt loss = 0.196323, C++_CUDA_GPU Avg iter time = 0.000545668
Timestamp = 0.0130544, Batch 10, Epoch = 1, Loss = 2.4989, Actual Loss = 2.30258, Wt loss = 0.196318, C++_CUDA_GPU Avg iter time = 0.000530729
Timestamp = 0.0135631, Batch 11, Epoch = 1, Loss = 2.49894, Actual Loss = 2.30263, Wt loss = 0.196313, C++_CUDA_GPU Avg iter time = 0.000519727
Timestamp = 0.0140685, Batch 12, Epoch = 1, Loss = 2.499, Actual Loss = 2.30269, Wt loss = 0.196308, C++_CUDA_GPU Avg iter time = 0.000512525
Timestamp = 0.0145814, Batch 13, Epoch = 1, Loss = 2.49892, Actual Loss = 2.30262, Wt loss = 0.196302, C++_CUDA_GPU Avg iter time = 0.000512704
Timestamp = 0.0150895, Batch 14, Epoch = 1, Loss = 2.4989, Actual Loss = 2.3026, Wt loss = 0.196298, C++_CUDA_GPU Avg iter time = 0.000510403
Timestamp = 0.0155983, Batch 15, Epoch = 1, Loss = 2.49901, Actual Loss = 2.30271, Wt loss = 0.196293, C++_CUDA_GPU Avg iter time = 0.000509616
Timestamp = 0.0161009, Batch 16, Epoch = 1, Loss = 2.49896, Actual Loss = 2.30267, Wt loss = 0.196288, C++_CUDA_GPU Avg iter time = 0.000506132
Timestamp = 0.0166027, Batch 17, Epoch = 1, Loss = 2.49895, Actual Loss = 2.30267, Wt loss = 0.196283, C++_CUDA_GPU Avg iter time = 0.000503973
Timestamp = 0.0171116, Batch 18, Epoch = 1, Loss = 2.49887, Actual Loss = 2.30259, Wt loss = 0.196278, C++_CUDA_GPU Avg iter time = 0.000506438
Timestamp = 0.0176204, Batch 19, Epoch = 1, Loss = 2.49896, Actual Loss = 2.30269, Wt loss = 0.196274, C++_CUDA_GPU Avg iter time = 0.000507581
Timestamp = 0.0181266, Batch 20, Epoch = 1, Loss = 2.49884, Actual Loss = 2.30257, Wt loss = 0.196269, C++_CUDA_GPU Avg iter time = 0.000506913
Timestamp = 0.0186268, Batch 21, Epoch = 1, Loss = 2.49883, Actual Loss = 2.30257, Wt loss = 0.196264, C++_CUDA_GPU Avg iter time = 0.000503561
Timestamp = 0.0192878, Batch 22, Epoch = 1, Loss = 2.49891, Actual Loss = 2.30265, Wt loss = 0.196259, C++_CUDA_GPU Avg iter time = 0.000582278
Timestamp = 0.0198212, Batch 23, Epoch = 1, Loss = 2.49873, Actual Loss = 2.30247, Wt loss = 0.196255, C++_CUDA_GPU Avg iter time = 0.000557819
Timestamp = 0.0203324, Batch 24, Epoch = 1, Loss = 2.49887, Actual Loss = 2.30262, Wt loss = 0.19625, C++_CUDA_GPU Avg iter time = 0.000534504
Timestamp = 0.0208386, Batch 25, Epoch = 1, Loss = 2.49892, Actual Loss = 2.30268, Wt loss = 0.196245, C++_CUDA_GPU Avg iter time = 0.000520361
Timestamp = 0.0213505, Batch 26, Epoch = 1, Loss = 2.49873, Actual Loss = 2.30249, Wt loss = 0.19624, C++_CUDA_GPU Avg iter time = 0.000516161
Timestamp = 0.021855, Batch 27, Epoch = 1, Loss = 2.49882, Actual Loss = 2.30259, Wt loss = 0.196236, C++_CUDA_GPU Avg iter time = 0.000510324
Timestamp = 0.0223563, Batch 28, Epoch = 1, Loss = 2.49874, Actual Loss = 2.30251, Wt loss = 0.196231, C++_CUDA_GPU Avg iter time = 0.000505793
Timestamp = 0.0228634, Batch 29, Epoch = 1, Loss = 2.49862, Actual Loss = 2.30239, Wt loss = 0.196227, C++_CUDA_GPU Avg iter time = 0.000506454
Timestamp = 0.0233751, Batch 30, Epoch = 1, Loss = 2.49886, Actual Loss = 2.30264, Wt loss = 0.196222, C++_CUDA_GPU Avg iter time = 0.000509095
Timestamp = 0.0238804, Batch 31, Epoch = 1, Loss = 2.49881, Actual Loss = 2.3026, Wt loss = 0.196218, C++_CUDA_GPU Avg iter time = 0.000507157
Timestamp = 0.0243905, Batch 32, Epoch = 1, Loss = 2.49877, Actual Loss = 2.30256, Wt loss = 0.196214, C++_CUDA_GPU Avg iter time = 0.000508667
Timestamp = 0.0248918, Batch 33, Epoch = 1, Loss = 2.49865, Actual Loss = 2.30244, Wt loss = 0.196208, C++_CUDA_GPU Avg iter time = 0.000504964
Timestamp = 0.0253968, Batch 34, Epoch = 1, Loss = 2.49883, Actual Loss = 2.30263, Wt loss = 0.196203, C++_CUDA_GPU Avg iter time = 0.000504973
Timestamp = 0.0258997, Batch 35, Epoch = 1, Loss = 2.49886, Actual Loss = 2.30266, Wt loss = 0.196199, C++_CUDA_GPU Avg iter time = 0.000503944
Timestamp = 0.026399, Batch 36, Epoch = 1, Loss = 2.49906, Actual Loss = 2.30286, Wt loss = 0.196195, C++_CUDA_GPU Avg iter time = 0.000501604
Timestamp = 0.0269038, Batch 37, Epoch = 1, Loss = 2.49872, Actual Loss = 2.30253, Wt loss = 0.19619, C++_CUDA_GPU Avg iter time = 0.000503244
Timestamp = 0.0274056, Batch 38, Epoch = 1, Loss = 2.49869, Actual Loss = 2.30251, Wt loss = 0.196186, C++_CUDA_GPU Avg iter time = 0.000502484
Timestamp = 0.0279403, Batch 39, Epoch = 1, Loss = 2.49879, Actual Loss = 2.30261, Wt loss = 0.196182, C++_CUDA_GPU Avg iter time = 0.000518611
Timestamp = 0.028446, Batch 40, Epoch = 1, Loss = 2.49885, Actual Loss = 2.30267, Wt loss = 0.196177, C++_CUDA_GPU Avg iter time = 0.000512158
Timestamp = 0.028945, Batch 41, Epoch = 1, Loss = 2.4989, Actual Loss = 2.30273, Wt loss = 0.196172, C++_CUDA_GPU Avg iter time = 0.000505567
Timestamp = 0.0294457, Batch 42, Epoch = 1, Loss = 2.49862, Actual Loss = 2.30245, Wt loss = 0.196169, C++_CUDA_GPU Avg iter time = 0.000503154
Timestamp = 0.0301052, Batch 43, Epoch = 1, Loss = 2.49864, Actual Loss = 2.30248, Wt loss = 0.196164, C++_CUDA_GPU Avg iter time = 0.000581297
Timestamp = 0.0306488, Batch 44, Epoch = 1, Loss = 2.49883, Actual Loss = 2.30267, Wt loss = 0.19616, C++_CUDA_GPU Avg iter time = 0.000562449
Timestamp = 0.0311628, Batch 45, Epoch = 1, Loss = 2.49864, Actual Loss = 2.30248, Wt loss = 0.196155, C++_CUDA_GPU Avg iter time = 0.000538257
Timestamp = 0.031674, Batch 46, Epoch = 1, Loss = 2.49886, Actual Loss = 2.3027, Wt loss = 0.196151, C++_CUDA_GPU Avg iter time = 0.000524706
Timestamp = 0.0321796, Batch 47, Epoch = 1, Loss = 2.49863, Actual Loss = 2.30248, Wt loss = 0.196147, C++_CUDA_GPU Avg iter time = 0.000515141
Timestamp = 0.0326855, Batch 48, Epoch = 1, Loss = 2.49891, Actual Loss = 2.30277, Wt loss = 0.196143, C++_CUDA_GPU Avg iter time = 0.000510523
Timestamp = 0.0331925, Batch 49, Epoch = 1, Loss = 2.49868, Actual Loss = 2.30254, Wt loss = 0.196138, C++_CUDA_GPU Avg iter time = 0.000508755
Timestamp = 0.0337026, Batch 50, Epoch = 1, Loss = 2.49879, Actual Loss = 2.30266, Wt loss = 0.196134, C++_CUDA_GPU Avg iter time = 0.000509452
Timestamp = 0.0342098, Batch 51, Epoch = 1, Loss = 2.49868, Actual Loss = 2.30255, Wt loss = 0.19613, C++_CUDA_GPU Avg iter time = 0.000508321
Timestamp = 0.0347194, Batch 52, Epoch = 1, Loss = 2.49856, Actual Loss = 2.30244, Wt loss = 0.196126, C++_CUDA_GPU Avg iter time = 0.000508968
Timestamp = 0.035225, Batch 53, Epoch = 1, Loss = 2.49913, Actual Loss = 2.30301, Wt loss = 0.196122, C++_CUDA_GPU Avg iter time = 0.000507296
Timestamp = 0.0357307, Batch 54, Epoch = 1, Loss = 2.49879, Actual Loss = 2.30267, Wt loss = 0.196117, C++_CUDA_GPU Avg iter time = 0.000506479
Timestamp = 0.0362356, Batch 55, Epoch = 1, Loss = 2.49865, Actual Loss = 2.30254, Wt loss = 0.196114, C++_CUDA_GPU Avg iter time = 0.000505712
Timestamp = 0.0367373, Batch 56, Epoch = 1, Loss = 2.49866, Actual Loss = 2.30255, Wt loss = 0.19611, C++_CUDA_GPU Avg iter time = 0.000503672
Timestamp = 0.0372413, Batch 57, Epoch = 1, Loss = 2.49878, Actual Loss = 2.30267, Wt loss = 0.196106, C++_CUDA_GPU Avg iter time = 0.000503831
