Timestamp = 0.00877298, Batch 1, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30267, Wt loss = 0.0483754, C++_CUDA_GPU Avg iter time = 0.00877298
Timestamp = 0.00927123, Batch 2, Epoch = 1, Loss = 2.35102, Actual Loss = 2.30264, Wt loss = 0.0483752, C++_CUDA_GPU Avg iter time = 0.00463561
Timestamp = 0.00975327, Batch 3, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30268, Wt loss = 0.048375, C++_CUDA_GPU Avg iter time = 0.00255883
Timestamp = 0.0103213, Batch 4, Epoch = 1, Loss = 2.35122, Actual Loss = 2.30284, Wt loss = 0.0483748, C++_CUDA_GPU Avg iter time = 0.00156341
Timestamp = 0.0107967, Batch 5, Epoch = 1, Loss = 2.35106, Actual Loss = 2.30269, Wt loss = 0.0483746, C++_CUDA_GPU Avg iter time = 0.0010194
Timestamp = 0.0112648, Batch 6, Epoch = 1, Loss = 2.35129, Actual Loss = 2.30292, Wt loss = 0.0483745, C++_CUDA_GPU Avg iter time = 0.000743792
Timestamp = 0.0117335, Batch 7, Epoch = 1, Loss = 2.3508, Actual Loss = 2.30242, Wt loss = 0.0483743, C++_CUDA_GPU Avg iter time = 0.000606207
Timestamp = 0.0122032, Batch 8, Epoch = 1, Loss = 2.35114, Actual Loss = 2.30276, Wt loss = 0.0483743, C++_CUDA_GPU Avg iter time = 0.000537968
Timestamp = 0.012668, Batch 9, Epoch = 1, Loss = 2.35074, Actual Loss = 2.30237, Wt loss = 0.0483741, C++_CUDA_GPU Avg iter time = 0.000501376
Timestamp = 0.0131414, Batch 10, Epoch = 1, Loss = 2.35125, Actual Loss = 2.30288, Wt loss = 0.048374, C++_CUDA_GPU Avg iter time = 0.000487423
Timestamp = 0.0136065, Batch 11, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30267, Wt loss = 0.0483738, C++_CUDA_GPU Avg iter time = 0.000476238
Timestamp = 0.0140712, Batch 12, Epoch = 1, Loss = 2.35111, Actual Loss = 2.30273, Wt loss = 0.0483736, C++_CUDA_GPU Avg iter time = 0.000470486
Timestamp = 0.01454, Batch 13, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30271, Wt loss = 0.0483734, C++_CUDA_GPU Avg iter time = 0.000469636
Timestamp = 0.0149995, Batch 14, Epoch = 1, Loss = 2.351, Actual Loss = 2.30263, Wt loss = 0.0483733, C++_CUDA_GPU Avg iter time = 0.000464564
Timestamp = 0.0154667, Batch 15, Epoch = 1, Loss = 2.35071, Actual Loss = 2.30233, Wt loss = 0.0483732, C++_CUDA_GPU Avg iter time = 0.000465867
Timestamp = 0.0159274, Batch 16, Epoch = 1, Loss = 2.35093, Actual Loss = 2.30256, Wt loss = 0.0483729, C++_CUDA_GPU Avg iter time = 0.000463292
Timestamp = 0.0163912, Batch 17, Epoch = 1, Loss = 2.35071, Actual Loss = 2.30234, Wt loss = 0.0483728, C++_CUDA_GPU Avg iter time = 0.000463557
Timestamp = 0.0168507, Batch 18, Epoch = 1, Loss = 2.3513, Actual Loss = 2.30293, Wt loss = 0.0483726, C++_CUDA_GPU Avg iter time = 0.000461496
Timestamp = 0.0173124, Batch 19, Epoch = 1, Loss = 2.35085, Actual Loss = 2.30248, Wt loss = 0.0483725, C++_CUDA_GPU Avg iter time = 0.000461614
Timestamp = 0.0177725, Batch 20, Epoch = 1, Loss = 2.35099, Actual Loss = 2.30262, Wt loss = 0.0483723, C++_CUDA_GPU Avg iter time = 0.000460877
Timestamp = 0.0182349, Batch 21, Epoch = 1, Loss = 2.35112, Actual Loss = 2.30275, Wt loss = 0.0483722, C++_CUDA_GPU Avg iter time = 0.000461612
Timestamp = 0.0188422, Batch 22, Epoch = 1, Loss = 2.35114, Actual Loss = 2.30277, Wt loss = 0.0483721, C++_CUDA_GPU Avg iter time = 0.000534462
Timestamp = 0.0193325, Batch 23, Epoch = 1, Loss = 2.35123, Actual Loss = 2.30286, Wt loss = 0.0483719, C++_CUDA_GPU Avg iter time = 0.000512405
Timestamp = 0.019804, Batch 24, Epoch = 1, Loss = 2.35104, Actual Loss = 2.30267, Wt loss = 0.0483718, C++_CUDA_GPU Avg iter time = 0.00049194
Timestamp = 0.0202698, Batch 25, Epoch = 1, Loss = 2.3509, Actual Loss = 2.30253, Wt loss = 0.0483716, C++_CUDA_GPU Avg iter time = 0.00047884
Timestamp = 0.0207299, Batch 26, Epoch = 1, Loss = 2.35112, Actual Loss = 2.30275, Wt loss = 0.0483715, C++_CUDA_GPU Avg iter time = 0.000469486
Timestamp = 0.0211934, Batch 27, Epoch = 1, Loss = 2.35102, Actual Loss = 2.30265, Wt loss = 0.0483713, C++_CUDA_GPU Avg iter time = 0.000466517
Timestamp = 0.0216561, Batch 28, Epoch = 1, Loss = 2.35075, Actual Loss = 2.30238, Wt loss = 0.0483711, C++_CUDA_GPU Avg iter time = 0.000464589
Timestamp = 0.0221168, Batch 29, Epoch = 1, Loss = 2.35116, Actual Loss = 2.30279, Wt loss = 0.048371, C++_CUDA_GPU Avg iter time = 0.000462645
Timestamp = 0.0225807, Batch 30, Epoch = 1, Loss = 2.35075, Actual Loss = 2.30238, Wt loss = 0.0483709, C++_CUDA_GPU Avg iter time = 0.000463257
Timestamp = 0.0230481, Batch 31, Epoch = 1, Loss = 2.35111, Actual Loss = 2.30274, Wt loss = 0.0483707, C++_CUDA_GPU Avg iter time = 0.000465345
Timestamp = 0.023511, Batch 32, Epoch = 1, Loss = 2.35109, Actual Loss = 2.30272, Wt loss = 0.0483706, C++_CUDA_GPU Avg iter time = 0.00046413
Timestamp = 0.0239774, Batch 33, Epoch = 1, Loss = 2.35073, Actual Loss = 2.30236, Wt loss = 0.0483704, C++_CUDA_GPU Avg iter time = 0.000465257
Timestamp = 0.0244368, Batch 34, Epoch = 1, Loss = 2.35087, Actual Loss = 2.3025, Wt loss = 0.0483702, C++_CUDA_GPU Avg iter time = 0.000462309
Timestamp = 0.0249021, Batch 35, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30246, Wt loss = 0.0483701, C++_CUDA_GPU Avg iter time = 0.000463839
Timestamp = 0.0253632, Batch 36, Epoch = 1, Loss = 2.35116, Actual Loss = 2.30279, Wt loss = 0.0483699, C++_CUDA_GPU Avg iter time = 0.000462435
Timestamp = 0.0258216, Batch 37, Epoch = 1, Loss = 2.35125, Actual Loss = 2.30288, Wt loss = 0.0483698, C++_CUDA_GPU Avg iter time = 0.000460422
Timestamp = 0.0262939, Batch 38, Epoch = 1, Loss = 2.35082, Actual Loss = 2.30245, Wt loss = 0.0483697, C++_CUDA_GPU Avg iter time = 0.000466396
Timestamp = 0.0267551, Batch 39, Epoch = 1, Loss = 2.35103, Actual Loss = 2.30266, Wt loss = 0.0483695, C++_CUDA_GPU Avg iter time = 0.000463758
Timestamp = 0.0272168, Batch 40, Epoch = 1, Loss = 2.35081, Actual Loss = 2.30244, Wt loss = 0.0483694, C++_CUDA_GPU Avg iter time = 0.00046275
Timestamp = 0.0276773, Batch 41, Epoch = 1, Loss = 2.35115, Actual Loss = 2.30278, Wt loss = 0.0483693, C++_CUDA_GPU Avg iter time = 0.000461617
Timestamp = 0.0281422, Batch 42, Epoch = 1, Loss = 2.35127, Actual Loss = 2.3029, Wt loss = 0.0483692, C++_CUDA_GPU Avg iter time = 0.00046329
Timestamp = 0.0287733, Batch 43, Epoch = 1, Loss = 2.35082, Actual Loss = 2.30245, Wt loss = 0.048369, C++_CUDA_GPU Avg iter time = 0.000547189
Timestamp = 0.0292619, Batch 44, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30271, Wt loss = 0.0483689, C++_CUDA_GPU Avg iter time = 0.000517901
Timestamp = 0.0297295, Batch 45, Epoch = 1, Loss = 2.35112, Actual Loss = 2.30276, Wt loss = 0.0483687, C++_CUDA_GPU Avg iter time = 0.000492715
Timestamp = 0.0301927, Batch 46, Epoch = 1, Loss = 2.35116, Actual Loss = 2.3028, Wt loss = 0.0483686, C++_CUDA_GPU Avg iter time = 0.00047799
