Timestamp = 0.00847855, Batch 1, Epoch = 1, Loss = nan, Actual Loss = 2.30258, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00847855
Timestamp = 0.00897792, Batch 2, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00448896
Timestamp = 0.00945405, Batch 3, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00248255
Timestamp = 0.0099876, Batch 4, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00150805
Timestamp = 0.0104547, Batch 5, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000987589
Timestamp = 0.0109265, Batch 6, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000729679
Timestamp = 0.0113928, Batch 7, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000597972
Timestamp = 0.0118623, Batch 8, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000533772
Timestamp = 0.0123295, Batch 9, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000500489
Timestamp = 0.0127981, Batch 10, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000484537
Timestamp = 0.013267, Batch 11, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476705
Timestamp = 0.0137418, Batch 12, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047575
Timestamp = 0.0142136, Batch 13, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.0004738
Timestamp = 0.0146879, Batch 14, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000474033
Timestamp = 0.015164, Batch 15, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000475072
Timestamp = 0.0156336, Batch 16, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000472308
Timestamp = 0.0161079, Batch 17, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000473336
Timestamp = 0.0165716, Batch 18, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000468498
Timestamp = 0.0171162, Batch 19, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000506537
Timestamp = 0.0175903, Batch 20, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000490326
Timestamp = 0.0180596, Batch 21, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000479802
Timestamp = 0.0186711, Batch 22, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000545647
Timestamp = 0.0191489, Batch 23, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000511767
Timestamp = 0.0196268, Batch 24, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000494825
Timestamp = 0.020109, Batch 25, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000488522
Timestamp = 0.0205756, Batch 26, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000477553
Timestamp = 0.021051, Batch 27, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476466
Timestamp = 0.0215278, Batch 28, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476614
Timestamp = 0.0219986, Batch 29, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047372
Timestamp = 0.0224707, Batch 30, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000472929
Timestamp = 0.0229416, Batch 31, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000471892
Timestamp = 0.0234137, Batch 32, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000472002
Timestamp = 0.0238879, Batch 33, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047309
Timestamp = 0.0243514, Batch 34, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000468301
Timestamp = 0.0248213, Batch 35, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000469112
Timestamp = 0.025286, Batch 36, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000466909
Timestamp = 0.0257521, Batch 37, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000466481
Timestamp = 0.0262134, Batch 38, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000463923
Timestamp = 0.0266746, Batch 39, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000462547
Timestamp = 0.0271232, Batch 40, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000455596
Timestamp = 0.0275708, Batch 41, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000451583
Timestamp = 0.0280353, Batch 42, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000458008
Timestamp = 0.0286731, Batch 43, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000547905
Timestamp = 0.0291589, Batch 44, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000516884
